iter	Passed	Remaining
228	401	1353
229	403	1351
230	405	1350
231	407	1348
232	409	1347
233	410	1345
234	412	1343
235	414	1341
236	416	1339
237	417	1338
238	419	1336
239	422	1336
240	423	1335
241	425	1333
242	427	1331
243	429	1329
244	430	1327
245	432	1325
246	434	1324
247	436	1322
248	437	1320
249	439	1319
250	441	1317
251	443	1315
252	445	1314
253	447	1313
254	449	1312
255	451	1311
256	453	1309
257	454	1308
258	456	1306
259	458	1304
260	460	1303
261	462	1301
262	463	1299
263	465	1298
264	467	1296
265	469	1294
266	470	1292
267	472	1290
268	474	1288
269	475	1286
270	477	1285
271	479	1284
272	481	1282
273	483	1280
274	485	1279
275	486	1277
276	488	1275
277	490	1273
278	492	1272
279	494	1270
280	495	1268
281	497	1266
282	499	1265
283	501	1263
284	502	1261
285	504	1259
286	506	1258
287	508	1256
288	509	1254
289	511	1252
290	513	1250
291	515	1248
292	516	1247
293	518	1245
294	520	1243
295	522	1242
296	523	1240
297	525	1238
298	527	1236
299	529	1234
300	530	1233
301	533	1232
302	535	1230
303	536	1229
304	538	1227
305	540	1225
306	542	1223
307	543	1221
308	545	1219
309	547	1217
310	548	1216
311	550	1214
312	552	1212
313	554	1210
314	555	1209
315	557	1207
316	559	1205
317	561	1203
318	563	1201
319	565	1200
320	567	1199
321	569	1198
322	570	1196
323	572	1194
324	574	1192
325	576	1191
326	577	1189
327	579	1187
328	581	1185
329	583	1183
330	586	1184
331	587	1182
332	589	1180
333	591	1178
334	592	1177
335	594	1175
336	596	1173
337	598	1171
338	599	1169
339	601	1167
340	603	1165
341	605	1164
342	606	1162
343	608	1160
344	610	1159
345	612	1157
346	614	1155
347	615	1153
348	617	1151
349	619	1149
350	620	1148
351	622	1146
352	624	1144
353	626	1142
354	627	1140
355	629	1139
356	631	1137
357	633	1135
358	635	1134
359	637	1133
360	639	1131
361	641	1129
362	642	1127
363	644	1126
364	646	1124
365	647	1122
366	649	1120
367	651	1118
368	653	1117
369	654	1115
370	656	1113
371	658	1111
372	660	1109
373	661	1108
374	663	1106
375	665	1104
376	667	1102
377	668	1100
378	670	1098
379	672	1096
380	674	1095
381	675	1093
382	677	1091
383	679	1089
384	680	1087
385	682	1086
386	684	1084
387	686	1082
388	687	1080
389	689	1078
390	691	1076
391	692	1074
392	694	1072
393	696	1070
394	698	1069
395	699	1067
396	701	1065
397	703	1063
398	705	1061
399	706	1060
400	708	1058
401	710	1056
402	711	1054
403	713	1052
404	715	1051
405	717	1049
406	718	1047
407	720	1045
408	722	1043
409	724	1042
410	725	1040
411	727	1038
412	729	1036
413	731	1034
414	732	1033
415	734	1031
416	736	1029
417	738	1027
418	739	1025
419	741	1024
420	743	1022
421	745	1020
422	746	1018
423	748	1017
424	750	1015
425	752	1013
426	753	1011
427	755	1009
428	757	1007
429	758	1006
430	760	1004
431	762	1002
432	764	1000
433	765	998
434	767	996
435	769	995
436	770	993
437	772	991
438	774	989
439	775	987
440	777	985
441	780	985
442	782	983
443	783	981
444	785	979
445	787	977
446	788	975
447	790	974
448	792	972
449	794	970
450	795	968
451	797	967
452	799	965
453	801	963
454	802	961
455	804	959
456	808	960
457	809	958
458	811	956
459	813	954
460	815	953
461	816	951
462	818	949
463	820	947
464	822	946
465	823	944
466	825	942
467	827	940
468	829	939
469	831	937
470	832	935
471	834	933
472	836	931
473	837	929
474	839	928
475	841	926
476	843	924
477	844	922
478	846	920
479	848	919
480	850	917
481	851	915
482	853	913
483	855	911
484	857	910
485	858	908
486	860	906
487	862	904
488	864	902
489	865	901
490	867	899
491	869	897
492	871	895
493	873	894
494	877	895
495	880	894
496	889	900
497	892	899
498	893	897
499	895	895
500	899	895
501	902	895
502	905	894
503	907	893
504	909	891
505	911	889
506	913	888
507	915	886
508	916	884
509	918	882
510	921	881
511	923	879
512	924	878
513	926	876
514	928	874
515	930	872
516	931	870
517	933	868
518	935	866
519	936	864
520	938	863
521	940	861
522	942	859
523	944	857
524	945	855
525	947	854
526	950	852
527	952	851
528	953	849
529	955	847
530	957	845
531	959	843
532	960	841
533	962	839
534	964	838
535	965	836
536	967	834
537	969	832
538	970	830
539	973	828
540	975	827
541	977	825
542	979	824
543	980	822
544	982	820
545	984	818
546	986	817
547	989	815
548	991	814
549	993	812
550	994	810
551	996	808
552	998	806
553	1000	805
554	1001	803
555	1003	801
556	1005	799
557	1006	797
558	1008	795
559	1010	793
560	1012	792
561	1014	791
562	1016	789
563	1018	787
564	1020	785
565	1022	783
566	1023	781
567	1025	780
568	1027	778
569	1029	776
570	1030	774
571	1032	772
572	1034	770
573	1035	768
574	1037	767
575	1039	765
576	1041	763
577	1043	761
578	1044	759
579	1046	757
580	1048	755
581	1049	754
582	1051	752
583	1053	750
584	1055	748
585	1057	746
586	1058	744
587	1060	743
588	1062	741
589	1064	739
590	1065	737
591	1067	735
592	1069	733
593	1072	732
594	1074	731
595	1077	730
596	1079	728
597	1081	726
598	1083	725
599	1084	723
600	1086	721
601	1088	719
602	1090	717
603	1092	715
604	1093	714
605	1095	712
606	1097	710
607	1099	708
608	1100	706
609	1102	704
610	1104	703
611	1106	701
612	1107	699
613	1109	697
614	1111	695
615	1112	693
616	1114	691
617	1116	689
618	1117	688
619	1119	686
620	1121	684
621	1123	682
622	1124	680
623	1126	678
624	1128	677
625	1130	675
626	1131	673
627	1133	671
628	1135	669
629	1136	667
630	1138	665
631	1140	664
632	1142	662
633	1143	660
634	1145	658
635	1147	656
636	1149	654
637	1151	653
638	1153	651
639	1155	650
640	1157	648
641	1159	646
642	1161	644
643	1162	642
644	1164	640
645	1166	639
646	1167	637
647	1170	635
648	1172	633
649	1173	632
650	1175	630
651	1177	628
652	1178	626
653	1180	624
654	1182	622
655	1184	621
656	1186	619
657	1187	617
658	1189	615
659	1191	613
660	1193	611
661	1194	610
662	1196	608
663	1198	606
664	1199	604
665	1201	602
666	1203	600
667	1205	599
668	1207	597
669	1208	595
670	1210	593
671	1212	591
672	1214	589
673	1215	588
674	1217	586
675	1219	584
676	1221	582
677	1222	580
678	1224	578
679	1226	577
680	1228	575
681	1230	573
682	1232	571
683	1234	570
684	1236	568
685	1237	566
686	1239	564
687	1241	563
688	1243	561
689	1245	559
690	1247	557
691	1249	556
692	1250	554
693	1252	552
694	1254	550
695	1256	548
696	1257	546
697	1259	544
698	1261	543
699	1262	541
700	1264	539
701	1266	537
702	1267	535
703	1269	533
704	1271	531
705	1272	530
706	1274	528
707	1276	526
708	1277	524
709	1279	522
710	1281	520
711	1283	519
712	1284	517
713	1286	515
714	1288	513
715	1290	511
716	1292	510
717	1293	508
718	1295	506
719	1297	504
720	1299	502
721	1300	500
722	1302	499
723	1304	497
724	1305	495
725	1308	493
726	1310	492
727	1312	490
728	1314	488
729	1317	487
730	1319	485
731	1320	483
732	1322	481
733	1324	479
734	1326	478
735	1327	476
736	1329	474
737	1330	472
738	1332	470
739	1334	468
740	1335	466
741	1337	465
742	1339	463
743	1340	461
744	1342	459
745	1344	457
746	1346	455
747	1347	454
748	1349	452
749	1351	450
750	1353	448
751	1354	446
752	1356	445
753	1358	443
754	1360	441
755	1362	439
756	1365	438
757	1367	436
758	1369	434
759	1371	433
760	1373	431
761	1374	429
762	1377	427
763	1378	425
764	1380	424
765	1382	422
766	1384	420
767	1385	418
768	1387	416
769	1389	414
770	1390	413
771	1392	411
772	1394	409
773	1396	407
774	1398	405
775	1405	405
776	1407	404
777	1409	402
778	1411	400
779	1413	398
780	1414	396
781	1416	394
782	1418	393
783	1420	391
784	1422	389
785	1423	387
786	1425	385
787	1427	384
788	1429	382
789	1430	380
790	1432	378
791	1434	376
792	1436	374
793	1438	373
794	1440	371
795	1442	369
796	1444	367
797	1446	366
798	1448	364
799	1449	362
800	1451	360
801	1453	358
802	1455	356
803	1456	355
804	1458	353
805	1460	351
806	1462	349
807	1463	347
808	1465	345
809	1467	344
810	1468	342
811	1470	340
812	1472	338
813	1474	336
814	1475	335
815	1477	333
816	1479	331
817	1481	329
818	1482	327
819	1484	325
820	1486	324
821	1488	322
822	1489	320
823	1491	318
824	1493	316
825	1495	315
826	1497	313
827	1499	311
828	1500	309
829	1502	307
830	1504	305
831	1506	304
832	1507	302
833	1509	300
834	1511	298
835	1513	296
836	1514	295
837	1517	293
838	1518	291
839	1520	289
840	1522	287
841	1523	285
842	1526	284
843	1527	282
844	1529	280
845	1531	278
846	1533	276
847	1535	275
848	1536	273
849	1538	271
850	1540	269
851	1541	267
852	1543	266
853	1545	264
854	1547	262
855	1548	260
856	1550	258
857	1552	256
858	1553	255
859	1555	253
860	1557	251
861	1559	249
862	1561	247
863	1563	246
864	1564	244
865	1566	242
866	1568	240
867	1570	238
868	1572	237
869	1574	235
870	1576	233
871	1578	231
872	1579	229
873	1581	228
874	1583	226
875	1585	224
876	1587	222
877	1588	220
878	1590	218
879	1592	217
880	1594	215
881	1595	213
882	1597	211
883	1599	209
884	1600	208
885	1602	206
886	1604	204
887	1606	202
888	1607	200
889	1609	198
890	1611	197
891	1612	195
892	1614	193
893	1616	191
894	1618	189
895	1620	188
896	1621	186
897	1623	184
898	1625	182
899	1627	180
900	1628	178
901	1630	177
902	1632	175
903	1634	173
904	1636	171
905	1637	169
906	1639	168
907	1641	166
908	1642	164
909	1644	162
910	1646	160
911	1647	159
912	1649	157
913	1651	155
914	1652	153
915	1654	151
916	1656	149
917	1657	148
918	1659	146
919	1661	144
920	1663	142
921	1664	140
922	1666	139
923	1668	137
924	1670	135
925	1673	133
926	1675	131
927	1677	130
928	1678	128
929	1680	126
930	1682	124
931	1683	122
932	1685	121
933	1687	119
934	1688	117
935	1690	115
936	1692	113
937	1694	111
938	1695	110
939	1697	108
940	1699	106
941	1701	104
942	1702	102
943	1704	101
944	1706	99
945	1707	97
946	1709	95
947	1711	93
948	1713	92
949	1715	90
950	1717	88
951	1718	86
952	1720	84
953	1722	83
954	1724	81
955	1725	79
956	1727	77
957	1729	75
958	1731	74
959	1733	72
960	1734	70
961	1736	68
962	1738	66
963	1740	64
964	1741	63
965	1743	61
966	1745	59
967	1747	57
968	1749	55
969	1750	54
970	1752	52
971	1755	50
972	1757	48
973	1759	46
974	1761	45
975	1762	43
976	1765	41
977	1767	39
978	1769	37
979	1771	36
980	1772	34
981	1774	32
982	1776	30
983	1777	28
984	1779	27
985	1781	25
986	1782	23
987	1784	21
988	1786	19
989	1787	18
990	1789	16
991	1791	14
992	1793	12
993	1795	10
994	1796	9
995	1798	7
996	1800	5
997	1801	3
998	1803	1
999	1805	0
